text,label
"i actually felt bad for the actors in this thing no doubt a high school drama class could do a better job or at the very least as well a job the actors must have thought this would be their big chance working in a film it certainly was not besides the terrible acting the stories were boring and for the most part predictable the one about the remote control didn't even make any sense to bad cause it had the best premise in the bunch br br i'm all for supporting low budget films and giving new film makers a fair chance but this turkey is a waste of time and an insult to the viewer i only watched it because of some good comments posted here they must have been planted by people with ties to the film you may fool people into watching this but you can't fool them into liking what they saw br br i gave it a 2 instead of a 1 because at least the boxer story tried to be heart warming sure it failed miserably but it tried i reserve 1 s for the worst of the worst br br do yourself a favor and skip this dribble i wish i had",0
"lets make a movie about a talk show that already exists and basically have everything that happens on the show well if that idea doesn't intrigue you which it shouldn't stay away from ringmaster i had the displeasure of seeing this in the theater and actually being able to sit through this mess of a movie i guess jerry springer doesn't play himself as it shows from the cheap props for his show yes it looks even cheaper than the real jerry springer show and he is only known as jerry in the film the plot if you can call it that is about a daughter while living with her mother decides to start sleeping with the mother's live in boyfriend so the mother's brilliant idea is to call the jerry springer show as well as getting it on with her daughter's boyfriend is it any coincidence they live in a trailer park meanwhile somewhere else in america a woman finds her cheatin' man with her friend in bed together so of course call america's therapist jerry springer i'd talk about the rest of the film but even thinking about the film now is giving me a headache jamie pressly who plays the daughter looks totally unattractive in the movie and remember michael dudikoff the kick ass karate master from the american ninja series well take a look at him now as a white trash drunk the thing is he really looks too horrible and out of shape to call it getting in touch with his",0
"within 15 minutes my whole family was rooting for goldie hawn's character to die or at least for steve martin's character to leave her at 40 minutes we turned it off there are only a couple of movies a year we try that turn out so annoying that we can't even stomach it long enough for the story to get established br br normally i like both steve martin and goldie hawn and i remember enjoying the neil simon original so i blame marc lawrence and sam weisman combine the director of whats the worst that can happen and the writer of miss congeniality 2 and i guess this is what we end up with",0
"i saw this movie at an advance screening and found it excellent br br new york i love you is a true spin on a romance that explores clever funny and sometimes shocking situations around the human race's most powerful emotion br br the cast is huge a veritable oceans 11 with andy garcia ethan hawke shia labouf natalie portman bradley cooper and others they all give stand out performances in one way or another br br that's not to mention that there is a who's who of directors interweaving stories in clever and interesting ways brett rattner shaka kapur natalie portman i mean wow this movie is not a straight ahead romance or romantic comedy even though it is both romantic and funny it also has serious stories and notes but that's good in my opinion go see it for yourself and reply to my review i want to hear what others have to say",1
"this is is a thoroughly unpleasant if slickly made movie i tried it because it stars richard dreyfus and jeff goldblum two good actors and because the plot line a mob boss is about to be released from a mental institution sounded promising the movie is billed as a comedy sorta what we have is an endless series of shots you should pardon the pun of people in dimly lit and elegant if somewhat surreal interiors shooting each other in the head stomach kneecap foot heart no part of the anatomy is avoided it seems while uttering vague and cryptic dialogue some of which is supposed evidently to be humorous in a sort of post modern way goldblum's dialogue for the whole movie could fit on a 3x5 card and he wears a single facial expression a sardonic grin throughout ellen barkin and gregory hines do the best they can burt reynolds does a cameo the credits list rob reiner and joey bishop but i somehow missed them good move on their part the whole thing is cold sterile mechanical and unsavory an heir i suspect to the style of 'pulp fiction' 'fargo' and 'natural born killers' if you liked those you'll probably like this",0
"i remember trying a few minutes of this film i'm very surprised i didn't watch all of it from director steve gordon his only film directed before dying of heart failure basically arthur bach golden globe winning and oscar nominated dudley moore is the happy drunk millionaire with everything he could want a mansion a butler hobson oscar and golden globe winning and bafta nominated sir john gielgud and plenty of booze he is to inherit 750 000 000 if he marries the daughter of fellow millionaire burt johnson stephen elliott they woman he and the family have chosen susan jill eikenberry but instead arthur finds himself falling for queens waitress linda marolla golden globe nominated liza minnelli which of course is threatening the inheritance and 3 4 of his family's fortune from father stanford thomas barbour and aunt martha geraldine fitzgerald after the death of hobson arthur on the day of the wedding disobeys the family's wishes but aunt martha still gives arthur the inheritance to live happily ever after with true love linda also starring ted ross as bitterman barney martin as ralph marolla anne de salvo as gloria hooker maurice copeland as uncle peter bach justine johnston as aunt pearl bach florence tarlow as mrs nesbitt marcella lowery as harriet martha's maid john bentley as perry and peter evans as preston langley party guest moore is wonderfully funny and a little cringing as the almost always drunk millionaire minnelli is likable as the woman he loves and gielgud of course makes a great",1
"while i totally disagree with one reviewer who described charley chase as unfunny in this film he certainly is it's a shame as i suspect the other reviewer must have only seen a few charley chase duds and assumed the guy wasn't funny films like mighty like a moose and what price goofy are very good chase films so he could be really funny given good material unfortunately in this film he's given absolutely nothing even the inclusion of the usually good oliver hardy as a foil isn't any help because the basic premise boy wants to marry girl but girl's father thinks the boy is a wuss and the gags are so poor it's a shame as i really wanted to love this film but couldn't br br by the way for those used to the look for charley from the mid 1920s on you'll be pretty surprised as chase sports no glasses or mustache and looks very little like you'd expect",0
"i must warn you there are some spoilers in it but to start it off i got spanish judges on february i think it was mention it was the last copy but as i see it wasn't back ordered but either way i have it i thought it was good i wanted to see this mainly because of the great actor matthew lillard i'm surprised no one on the reviews mention the scar although it is kind of low budget getting enough money to make this film would be worth spending man what a good actor br br the story it about a con artist known as jack matthew lillard who claims to have merchandises called the spanish judges if you don't know what spanish judges are or haven't seen the trailer for this and this is the first review you have read i won't even say what they are i figure it would be a big twist of no one knew what it was he needs protection so he hires a couple who are also crooks max and jamie vincent d'onofrio and valeria golino as well as a crook that goes by the name of piece mark boone junior he has a girlfriend who won't even tell anyone her name because she's from mars as she said so they mainly jack call her mars girl everything starts out fine but then it turns to one big game a game that involves some lust lies and betrayal br br there was some over acting in it",1
"this is one of the most calming relaxing and beautifully made animation films i've ever seen with beautiful music throughout the movie the sounds and music can make you feel like you're in the movie this movie is not just great for kids but adults too it teaches you lessons such as never forget who you are you can do whatever you stick your mind to and to brave and daring this movie can make you cry at times too which is always a nice touch in movies this movie is funny sad cute and keeps you on the edge of your seat some movies really give you a fuzzy feeling after you see them and the movie spirit is definitely one of them with my vote of 9 10 stars for animation music and a wonderful idea for a movie it gave me a whole lot of spirit",1
"the movie opens upon julian sands lying on his back a black kitten drooling blood into his awaiting mouth from where he holds it about two feet above him that was so provocative and i thought here we go a good vampire movie br br and then it died that was literally the only scene which captured any part of the imagination it was slow uneventful drivel thereafter i was vastly disappointed as my previous experience with sands' acting was quite enjoyable however this attempt was obviously misdirected and the screenplay left a lot to be desired br br even julian sands's questionable performance could not begin to save this already sunken barge of a movie br br it rates a 1 1 10 from br br the fiend",0
